,0
2026,5596702
2027,5596701
2028,5596700
2029,5596699
2030,5596698
2031,5596697
2032,5596696
2033,5596695
2034,5596348
2035,5596347
2036,5596345
2037,5594859
2038,5594858
2039,5594857
2040,5594660
2041,5594642
2042,5594640
2043,5592608
2044,5592607
2045,5592606
2046,5592605
2047,5592604
2048,5592603
2049,5592195
2050,5818451
2051,5818450
2052,5818449
2053,5818447
2054,5818446
2055,5818445
2056,5818444
2057,5818442
2058,5818441
2059,5818440
2060,5818438
2061,5818437
2062,5818436
2063,5818435
2064,5818418
2065,5815155
2066,5815154
2067,5815153
2068,5815152
2069,5815151
2070,5815150
2071,5815149
2072,5815148
2073,5815147
2074,5815146
2075,5815144
2076,5815138
2077,5815137
2078,5813021
2079,5813020
2080,5813019
2081,5813018
2082,5812863
2083,5812862
2084,5812805
2085,5812804
2086,5812144
2087,5812135
2088,5812134
2089,5812133
2090,5812132
2091,5812131
2092,5812130
2093,5812129
2094,5812128
2095,5812127
2096,5812126
2097,5812125
2098,5812122
2099,5812113
2100,5812110
2101,5809513
2102,5809512
2103,5809318
2104,5809317
2105,5809267
2106,5809266
2107,5809265
2108,5808615
2109,5808614
2110,5808613
2111,5808612
2112,5808611
2113,5808610
2114,5808609
2115,5808607
2116,5808604
2117,5808601
2118,5808598
2119,5806081
2120,5806080
2121,5806079
2122,5806078
2123,5806077
2124,5805911
2125,5805869
2126,5805846
2127,5805167
2128,5805166
2129,5805165
2130,5805164
2131,5805163
2132,5805162
2133,5805161
2134,5805159
2135,5805158
2136,5805157
2137,5805156
2138,5805154
